pais,anio,pib,inflacion_%,desempleo_%,poblacion_millones
Argentina,2023,640.6 Billion,211.4,6.1,46.2
Brasil,2023,2.17 Trillion,4.6,7.9,216.4
Chile,2023,335.5 Billion,7.6,8.7,19.6
Uruguay,2023,77.2 Billion,5.9,8.3,3.4
Paraguay,2023,42.8 Billion,3.7,,6.9
Bolivia,2023,45.1 Billion,2.1,5.1,12.2
Peru,2023,267.6 Billion,6.5,6.8,34.0
Colombia,2023,363.5 Billion,9.3,10.2,52.1
Ecuador,2023,118.8 Billion,2.2,3.8,
Chile,2023,335.5 Billion,7.6,8.7,19.6
Mexico,2023,1.79 Trillion,5.5,2.8,128.5
Venezuela,2023,102.3 Billion,189.8,,28.3
